,County,State,Total infections
672,Republic County,Kansas,272486
673,Rice County,Kansas,437671
674,Riley County,Kansas,2557922
675,Rooks County,Kansas,256487
676,Seward County,Kansas,1545536
677,Shawnee County,Kansas,7340047
678,Sheridan County,Kansas,167905
679,Sherman County,Kansas,264948
680,Smith County,Kansas,114658
681,Stafford County,Kansas,161595
682,Stanton County,Kansas,80339
683,Stevens County,Kansas,244663
684,Sumner County,Kansas,916885
685,Trego County,Kansas,157920
686,Wabaunsee County,Kansas,281184
687,Wallace County,Kansas,75727
688,Wichita County,Kansas,88179
689,Wilson County,Kansas,430135
690,Woodson County,Kansas,102367
691,Wyandotte County,Kansas,8367735
692,Ballard County,Kentucky,177490
693,Barren County,Kentucky,2007539
694,Bath County,Kentucky,420727
695,Bell County,Kentucky,1418318
696,Boyd County,Kentucky,2207430
697,Boyle County,Kentucky,1462004
698,Bracken County,Kentucky,283047
699,Breathitt County,Kentucky,481862
700,Breckinridge County,Kentucky,639508
701,Bullitt County,Kentucky,3145090
702,Caldwell County,Kentucky,621765
703,Calloway County,Kentucky,1471308
704,Campbell County,Kentucky,3635379
705,Carlisle County,Kentucky,190462
706,Carter County,Kentucky,1099301
707,Casey County,Kentucky,678250
708,Edmonson County,Kentucky,402316
709,Elliott County,Kentucky,395489
710,Estill County,Kentucky,531595
711,Fleming County,Kentucky,544630
712,Garrard County,Kentucky,691804
713,Graves County,Kentucky,1888132
714,Grayson County,Kentucky,1075905
715,Green County,Kentucky,578341
716,Greenup County,Kentucky,1634800
717,Harlan County,Kentucky,1301694
718,Hickman County,Kentucky,154478
719,Hopkins County,Kentucky,2060812
720,Jessamine County,Kentucky,2060199
721,Kenton County,Kentucky,6941436
722,Knott County,Kentucky,556709
723,Larue County,Kentucky,602306
724,Laurel County,Kentucky,3190935
725,Leslie County,Kentucky,474183
726,Letcher County,Kentucky,917323
727,Magoffin County,Kentucky,503563
728,McCracken County,Kentucky,2792090
729,McCreary County,Kentucky,899795
730,Menifee County,Kentucky,212291
731,Metcalfe County,Kentucky,475300
732,Muhlenberg County,Kentucky,1398886
733,Nelson County,Kentucky,2172522
734,Nicholas County,Kentucky,267194
735,Oldham County,Kentucky,3008625
736,Owsley County,Kentucky,231696
737,Pendleton County,Kentucky,483822
738,Powell County,Kentucky,597127
739,Robertson County,Kentucky,94768
740,Rockcastle County,Kentucky,740539
741,Rowan County,Kentucky,961859
742,Simpson County,Kentucky,865946
743,Todd County,Kentucky,478936
744,Trigg County,Kentucky,547668
745,Trimble County,Kentucky,310322
746,Wolfe County,Kentucky,265426
747,Acadia County,Louisiana,2880225
748,Ascension County,Louisiana,5696293
749,Assumption County,Louisiana,989278
750,Avoyelles County,Louisiana,1890405
751,Beauregard County,Louisiana,1501498
752,Bienville County,Louisiana,705902
753,Bossier County,Louisiana,5993024
754,Caddo County,Louisiana,11140445
755,Calcasieu County,Louisiana,9460220
756,Cameron County,Louisiana,247316
757,Catahoula County,Louisiana,494817
758,Claiborne County,Louisiana,595100
759,Concordia County,Louisiana,854083
760,De Soto County,Louisiana,1257229
761,East Baton Rouge County,Louisiana,17380816
762,East Carroll County,Louisiana,471649
763,East Feliciana County,Louisiana,1321032
764,Evangeline County,Louisiana,1573612
765,Iberia County,Louisiana,3268330
766,Iberville County,Louisiana,1638710
767,Jefferson Davis County,Louisiana,1330428
768,Lafourche County,Louisiana,4614679
769,Morehouse County,Louisiana,1240201
770,Natchitoches County,Louisiana,1782072
771,Orleans County,Louisiana,13153468
772,Plaquemines County,Louisiana,1088727
773,Pointe Coupee County,Louisiana,1107820
774,Rapides County,Louisiana,5572293
775,Red River County,Louisiana,383498
776,Sabine County,Louisiana,1249697
777,St. Bernard County,Louisiana,1828005
778,St. Charles County,Louisiana,2435335
779,St. Helena County,Louisiana,383235
780,St. James County,Louisiana,911991
781,St. John the Baptist County,Louisiana,1699818
782,St. Landry County,Louisiana,3883954
783,St. Martin County,Louisiana,2320720
784,St. Mary County,Louisiana,2215513
785,St. Tammany County,Louisiana,11618826
786,Tangipahoa County,Louisiana,5979718
787,Tensas County,Louisiana,151720
788,Terrebonne County,Louisiana,4939969
789,Vernon County,Louisiana,1519902
790,West Baton Rouge County,Louisiana,1224192
791,West Carroll County,Louisiana,532580
792,West Feliciana County,Louisiana,466375
793,Winn County,Louisiana,697490
794,Androscoggin County,Maine,3006032
795,Aroostook County,Maine,925173
796,Kennebec County,Maine,2505969
797,Oxford County,Maine,1376560
798,Penobscot County,Maine,2760368
799,Piscataquis County,Maine,272711
800,Sagadahoc County,Maine,544141
801,Somerset County,Maine,977340
802,Waldo County,Maine,512886
803,York County,Maine,5050483
804,Allegany County,Maryland,2815447
805,Anne Arundel County,Maryland,16184326
806,Baltimore County,Maryland,23747267
807,Baltimore city County,Maryland,19072105
808,Calvert County,Maryland,1642615
809,Caroline County,Maryland,917271
810,Cecil County,Maryland,2458924
811,Charles County,Maryland,4175851
812,Dorchester County,Maryland,1126697
813,Frederick County,Maryland,7450994
814,Garrett County,Maryland,867800
815,Harford County,Maryland,6125693
816,Prince George's County,Maryland,31463317
817,Queen Anne's County,Maryland,1149898
818,St. Mary's County,Maryland,2516875
819,Wicomico County,Maryland,3088101
820,Worcester County,Maryland,1445899
821,Barnstable County,Massachusetts,5227429
822,Berkshire County,Massachusetts,2566009
823,Bristol County,Massachusetts,25005281
824,Dukes County,Massachusetts,513344
825,Essex County,Massachusetts,36236112
826,Hampden County,Massachusetts,19641120
827,Hampshire County,Massachusetts,3448068
828,Nantucket County,Massachusetts,575089
829,Norfolk County,Massachusetts,20245719
830,Suffolk County,Massachusetts,34240055
831,Alcona County,Michigan,285510
832,Alger County,Michigan,273797
833,Allegan County,Michigan,4209917
834,Alpena County,Michigan,881179
835,Antrim County,Michigan,624181
836,Arenac County,Michigan,464217
837,Baraga County,Michigan,379055
838,Barry County,Michigan,2222070
839,Benzie County,Michigan,489359
840,Branch County,Michigan,2212970
841,Charlevoix County,Michigan,664850
842,Cheboygan County,Michigan,722400
843,Chippewa County,Michigan,2113142
844,Clare County,Michigan,977430
845,Eaton County,Michigan,3778781
846,Genesee County,Michigan,15211443
847,Gladwin County,Michigan,875300
848,Gogebic County,Michigan,554061
849,Grand Traverse County,Michigan,2492053
850,Gratiot County,Michigan,2620280
851,Hillsdale County,Michigan,1738622
852,Houghton County,Michigan,1237180
853,Huron County,Michigan,1424740
854,Ingham County,Michigan,9149487
855,Ionia County,Michigan,3473803
856,Iosco County,Michigan,782294
857,Iron County,Michigan,423417
858,Isabella County,Michigan,2402496
859,Kalamazoo County,Michigan,8581630
860,Kalkaska County,Michigan,447310
861,Keweenaw County,Michigan,72839
862,Lapeer County,Michigan,3484643
863,Leelanau County,Michigan,484024
864,Lenawee County,Michigan,4132655
865,Luce County,Michigan,489841
866,Mackinac County,Michigan,299362
867,Macomb County,Michigan,35883049
868,Manistee County,Michigan,732340
869,Marquette County,Michigan,2313609
870,Mecosta County,Michigan,1243701
871,Menominee County,Michigan,902594
872,Midland County,Michigan,2859409
873,Missaukee County,Michigan,522087
874,Montcalm County,Michigan,3033383
875,Montmorency County,Michigan,245529
876,Muskegon County,Michigan,6843733
877,Newaygo County,Michigan,1801454
878,Oakland County,Michigan,42988813
879,Oceana County,Michigan,1046649
880,Ogemaw County,Michigan,680796
881,Ontonagon County,Michigan,184263
882,Oscoda County,Michigan,251558
883,Otsego County,Michigan,871899
884,Presque Isle County,Michigan,386633
885,Roscommon County,Michigan,719694
886,Saginaw County,Michigan,8350552
887,Sanilac County,Michigan,1465516
888,Schoolcraft County,Michigan,188794
889,Shiawassee County,Michigan,2435306
890,Tuscola County,Michigan,2078602
891,Washtenaw County,Michigan,10064848
892,Wexford County,Michigan,1031061
893,Aitkin County,Minnesota,548382
894,Anoka County,Minnesota,16326872
895,Becker County,Minnesota,1523010
896,Beltrami County,Minnesota,1747471
897,Big Stone County,Minnesota,237827
898,Blue Earth County,Minnesota,2922290
899,Carlton County,Minnesota,1380339
900,Carver County,Minnesota,4071596
901,Chisago County,Minnesota,2430798
902,Cottonwood County,Minnesota,623989
903,Crow Wing County,Minnesota,2680904
904,Dakota County,Minnesota,17626295
905,Faribault County,Minnesota,617207
906,Fillmore County,Minnesota,678054
907,Freeborn County,Minnesota,1392023
908,Goodhue County,Minnesota,1906340
909,Hennepin County,Minnesota,47554264
910,Hubbard County,Minnesota,803214
911,Isanti County,Minnesota,1667287
912,Itasca County,Minnesota,1752381
913,Kanabec County,Minnesota,572336
914,Kandiyohi County,Minnesota,2599318
915,Kittson County,Minnesota,189152
916,Koochiching County,Minnesota,375482
917,Lac qui Parle County,Minnesota,305523
918,Lake of the Woods County,Minnesota,128095
919,Le Sueur County,Minnesota,1149487
920,Mahnomen County,Minnesota,235290
921,McLeod County,Minnesota,1715589
922,Meeker County,Minnesota,1041332
923,Mille Lacs County,Minnesota,1220376
924,Morrison County,Minnesota,1646665
925,Mower County,Minnesota,1883128
926,Nicollet County,Minnesota,1281149
927,Nobles County,Minnesota,1567227
928,Norman County,Minnesota,232108
929,Olmsted County,Minnesota,5437458
930,Otter Tail County,Minnesota,2346874
931,Pennington County,Minnesota,616333
932,Pine County,Minnesota,1309184
933,Pipestone County,Minnesota,434633
934,Ramsey County,Minnesota,19903324
935,Red Lake County,Minnesota,166380
936,Redwood County,Minnesota,699981
937,Renville County,Minnesota,699272
938,Rock County,Minnesota,494805
939,Roseau County,Minnesota,816341
940,Sherburne County,Minnesota,4589038
941,Sibley County,Minnesota,594409
942,St. Louis County,Minnesota,7142605
943,Stearns County,Minnesota,8725973
944,Steele County,Minnesota,1607324
945,Swift County,Minnesota,419319
946,Traverse County,Minnesota,148251
947,Wabasha County,Minnesota,866219
948,Wadena County,Minnesota,664723
949,Waseca County,Minnesota,966071
950,Watonwan County,Minnesota,525510
951,Wilkin County,Minnesota,316051
952,Winona County,Minnesota,1860963
953,Yellow Medicine County,Minnesota,459221
954,Alcorn County,Mississippi,1456617
955,Amite County,Mississippi,546299
956,Attala County,Mississippi,930526
957,Bolivar County,Mississippi,1913070
958,Coahoma County,Mississippi,1205338
959,Copiah County,Mississippi,1258352
960,Forrest County,Mississippi,3526904
961,George County,Mississippi,1204208
962,Grenada County,Mississippi,1072336
963,Hinds County,Mississippi,8876753
964,Humphreys County,Mississippi,388275
965,Issaquena County,Mississippi,64381
966,Itawamba County,Mississippi,1296848
967,Kemper County,Mississippi,403776
968,Leake County,Mississippi,1145328
969,Leflore County,Mississippi,1407629
970,Neshoba County,Mississippi,1793088
971,Noxubee County,Mississippi,532457
972,Oktibbeha County,Mississippi,1985950
973,Panola County,Mississippi,1881989
974,Pearl River County,Mississippi,2247779
975,Pontotoc County,Mississippi,1836796
976,Prentiss County,Mississippi,1267462
977,Rankin County,Mississippi,5997305
978,Sharkey County,Mississippi,198846
979,Sunflower County,Mississippi,1316190
980,Tallahatchie County,Mississippi,699377
981,Tate County,Mississippi,1345901
982,Tippah County,Mississippi,1274526
983,Tishomingo County,Mississippi,983846
984,Tunica County,Mississippi,447405
985,Walthall County,Mississippi,587753
986,Yalobusha County,Mississippi,667644
987,Yazoo County,Mississippi,1282299
988,Andrew County,Missouri,787738
989,Audrain County,Missouri,1105253
990,Bates County,Missouri,600772
991,Bollinger County,Missouri,487773
992,Callaway County,Missouri,2140257
993,Cape Girardeau County,Missouri,3885477
994,Chariton County,Missouri,288510
995,Cole County,Missouri,3871447
996,Cooper County,Missouri,801665
997,Dent County,Missouri,482105
998,Dunklin County,Missouri,1222511
999,Gasconade County,Missouri,614124
1000,Gentry County,Missouri,367876
1001,Hickory County,Missouri,295286
1002,Holt County,Missouri,185126
1003,Howell County,Missouri,1568561
1004,Joplin County,Missouri,2547224
1005,Kansas City County,Missouri,18339433
1006,Laclede County,Missouri,1492608
1007,Maries County,Missouri,277393
1008,McDonald County,Missouri,1143604
1009,Moniteau County,Missouri,763159
1010,New Madrid County,Missouri,899900
1011,Nodaway County,Missouri,1090562
1012,Oregon County,Missouri,365404
1013,Ozark County,Missouri,299754
1014,Pemiscot County,Missouri,626721
1015,Pettis County,Missouri,2171818
1016,Phelps County,Missouri,1701695
1017,Platte County,Missouri,1707243
1018,Ralls County,Missouri,438484
1019,Ray County,Missouri,827010
1020,Reynolds County,Missouri,213258
1021,Scotland County,Missouri,119273
1022,Shannon County,Missouri,268357
1023,St. Francois County,Missouri,3562425
1024,St. Louis city County,Missouri,9776740
1025,Ste. Genevieve County,Missouri,726243
1026,Stoddard County,Missouri,1145934
1027,Taney County,Missouri,2473737
1028,Texas County,Missouri,835063
1029,Beaverhead County,Montana,389325
1030,Big Horn County,Montana,980003
1031,Broadwater County,Montana,214525
1032,Carbon County,Montana,375240
1033,Cascade County,Montana,3934605
1034,Chouteau County,Montana,203811
1035,Daniels County,Montana,79824
1036,Deer Lodge County,Montana,450972
1037,Fallon County,Montana,126863
1038,Fergus County,Montana,464815
1039,Flathead County,Montana,5160947
1040,Glacier County,Montana,632840
1041,Golden Valley County,Montana,24726
1042,Granite County,Montana,92273
1043,Hill County,Montana,852832
1044,Judith Basin County,Montana,39423
1045,Lewis and Clark County,Montana,2928594
1046,McCone County,Montana,75763
1047,Meagher County,Montana,63335
1048,Missoula County,Montana,4032241
1049,Musselshell County,Montana,155663
1050,Petroleum County,Montana,5296
1051,Pondera County,Montana,207565
1052,Powder River County,Montana,61966
1053,Ravalli County,Montana,1315684
1054,Roosevelt County,Montana,640633
1055,Rosebud County,Montana,488125
1056,Sanders County,Montana,314130
1057,Silver Bow County,Montana,1645342
1058,Stillwater County,Montana,307428
1059,Sweet Grass County,Montana,158791
1060,Toole County,Montana,291087
1061,Treasure County,Montana,24037
1062,Wheatland County,Montana,73354
1063,Wibaux County,Montana,48895
1064,Yellowstone County,Montana,7533097
1065,Antelope County,Nebraska,218724
1066,Arthur County,Nebraska,8519
1067,Banner County,Nebraska,14384
1068,Box Butte County,Nebraska,403403
1069,Buffalo County,Nebraska,2217484
1070,Burt County,Nebraska,255185
1071,Cherry County,Nebraska,133335
1072,Colfax County,Nebraska,601224
1073,Cuming County,Nebraska,397173
1074,Dawes County,Nebraska,299054
1075,Deuel County,Nebraska,48334
1076,Dixon County,Nebraska,245183
1077,Dundy County,Nebraska,71626
1078,Frontier County,Nebraska,84746
1079,Furnas County,Nebraska,197353
1080,Gage County,Nebraska,822930
1081,Garden County,Nebraska,51215
1082,Gosper County,Nebraska,73369
1083,Hayes County,Nebraska,23382
1084,Hitchcock County,Nebraska,103033
1085,Hooker County,Nebraska,21530
1086,Kearney County,Nebraska,258818
1087,Keith County,Nebraska,285072
1088,Keya Paha County,Nebraska,22061
1089,Kimball County,Nebraska,166678
1090,Lancaster County,Nebraska,12536755
1091,Loup County,Nebraska,16182
1092,Merrick County,Nebraska,312936
1093,Morrill County,Nebraska,213914
1094,Nance County,Nebraska,160801
1095,Nuckolls County,Nebraska,184796
1096,Otoe County,Nebraska,576543
1097,Perkins County,Nebraska,110507
1098,Red Willow County,Nebraska,490911
1099,Richardson County,Nebraska,294214
1100,Sarpy County,Nebraska,8687832
1101,Saunders County,Nebraska,976083
1102,Scotts Bluff County,Nebraska,1881700
1103,Thayer County,Nebraska,200172
1104,Thurston County,Nebraska,366022
1105,Carson City County,Nevada,2610432
1106,Churchill County,Nevada,946329
1107,Elko County,Nevada,2208578
1108,Esmeralda County,Nevada,16169
1109,Eureka County,Nevada,36365
1110,Lander County,Nevada,204092
1111,Nye County,Nevada,1263483
1112,Pershing County,Nevada,365745
1113,Storey County,Nevada,49486
1114,Washoe County,Nevada,18805857
1115,White Pine County,Nevada,292155
1116,Belknap County,New Hampshire,1696246
1117,Cheshire County,New Hampshire,1556036
1118,Coos County,New Hampshire,836011
1119,Grafton County,New Hampshire,1602837
1120,Merrimack County,New Hampshire,3860203
1121,Rockingham County,New Hampshire,9236270
1122,Strafford County,New Hampshire,3790355
1123,Atlantic County,New Jersey,11731268
1124,Bergen County,New Jersey,37292049
1125,Burlington County,New Jersey,16586832
1126,Cape May County,New Jersey,3566910
1127,Gloucester County,New Jersey,11464778
1128,Hudson County,New Jersey,31367213
1129,Hunterdon County,New Jersey,3580754
1130,Monmouth County,New Jersey,27931212
1131,Ocean County,New Jersey,28303942
1132,Passaic County,New Jersey,26107561
1133,Salem County,New Jersey,2298116
1134,Bernalillo County,New Mexico,23264694
1135,Catron County,New Mexico,47324
1136,Chaves County,New Mexico,3810017
1137,Cibola County,New Mexico,1375374
1138,Curry County,New Mexico,2166283
1139,De Baca County,New Mexico,71345
1140,Doña Ana County,New Mexico,9829654
1141,Eddy County,New Mexico,2983009
1142,Guadalupe County,New Mexico,266790
1143,Harding County,New Mexico,7197
1144,Hidalgo County,New Mexico,160826
1145,Lea County,New Mexico,3929722
1146,Los Alamos County,New Mexico,221138
1147,Luna County,New Mexico,1290347
1148,McKinley County,New Mexico,4810915
1149,Mora County,New Mexico,84275
1150,Quay County,New Mexico,253661
1151,Rio Arriba County,New Mexico,1487273
1152,Sandoval County,New Mexico,4863830
1153,Santa Fe County,New Mexico,4193750
1154,Socorro County,New Mexico,536511
1155,Taos County,New Mexico,709462
1156,Torrance County,New Mexico,436133
1157,Valencia County,New Mexico,2893652
1158,Albany County,New York,9412905
1159,Broome County,New York,7168451
1160,Cattaraugus County,New York,2258293
1161,Cayuga County,New York,2507086
1162,Chemung County,New York,3107390
1163,Chenango County,New York,1335236
1164,Cortland County,New York,1539127
1165,Dutchess County,New York,10781074
1166,Erie County,New York,32820760
1167,Herkimer County,New York,2062789
1168,New York City County,New York,344035617
1169,Niagara County,New York,7433418
1170,Onondaga County,New York,15253603
1171,Ontario County,New York,2860117
1172,Oswego County,New York,3163808
1173,Rensselaer County,New York,4374098
1174,Rockland County,New York,17043745
1175,Saratoga County,New York,6015690
1176,Schenectady County,New York,5057653
1177,Schoharie County,New York,657279
1178,Seneca County,New York,793024
1179,St. Lawrence County,New York,2804233
1180,Tioga County,New York,1483381
1181,Tompkins County,New York,1819531
1182,Ulster County,New York,5144560
1183,Westchester County,New York,46664489
1184,Wyoming County,New York,1343490
1185,Yates County,New York,475709
1186,Alamance County,North Carolina,7379983
1187,Alleghany County,North Carolina,443589
1188,Anson County,North Carolina,1058087
1189,Ashe County,North Carolina,915729
1190,Avery County,North Carolina,818723
1191,Beaufort County,North Carolina,1935745
1192,Bertie County,North Carolina,713041
1193,Bladen County,North Carolina,1447568
1194,Brunswick County,North Carolina,4068916
1195,Buncombe County,North Carolina,7460392
1196,Cabarrus County,North Carolina,8958367
1197,Carteret County,North Carolina,2174410
1198,Caswell County,North Carolina,881338
1199,Catawba County,North Carolina,7914513
1200,Chowan County,North Carolina,616202
1201,Columbus County,North Carolina,2716083
1202,Craven County,North Carolina,3842603
1203,Currituck County,North Carolina,685995
1204,Dare County,North Carolina,967921
1205,Davidson County,North Carolina,6928114
1206,Davie County,North Carolina,1709606
1207,Duplin County,North Carolina,2679063
1208,Durham County,North Carolina,10091419
1209,Edgecombe County,North Carolina,2206149
1210,Gaston County,North Carolina,10983610
1211,Gates County,North Carolina,297920
1212,Granville County,North Carolina,2324993
1213,Guilford County,North Carolina,18898454
1214,Halifax County,North Carolina,2221475
1215,Harnett County,North Carolina,4861558
1216,Haywood County,North Carolina,1904187
1217,Hertford County,North Carolina,827757
1218,Hoke County,North Carolina,1965828
1219,Hyde County,North Carolina,255355
1220,Iredell County,North Carolina,7800208
1221,Johnston County,North Carolina,8846721
1222,Lenoir County,North Carolina,2531206
1223,McDowell County,North Carolina,2246613
1224,Mecklenburg County,North Carolina,44771586
1225,Moore County,North Carolina,3701498
1226,Nash County,North Carolina,4414014
1227,New Hanover County,North Carolina,7782478
1228,Northampton County,North Carolina,741341
1229,Onslow County,North Carolina,7410336
1230,Pamlico County,North Carolina,452163
1231,Pasquotank County,North Carolina,1397354
1232,Pender County,North Carolina,2313646
1233,Perquimans County,North Carolina,419956
1234,Person County,North Carolina,1398784
1235,Pitt County,North Carolina,8148991
1236,Robeson County,North Carolina,6902081
1237,Rutherford County,North Carolina,3075528
1238,Sampson County,North Carolina,3185188
1239,Stanly County,North Carolina,3196668
1240,Stokes County,North Carolina,1702546
1241,Surry County,North Carolina,3395651
1242,Swain County,North Carolina,523431
1243,Transylvania County,North Carolina,992962
1244,Tyrrell County,North Carolina,142026
1245,Vance County,North Carolina,1935950
1246,Wake County,North Carolina,35962519
1247,Watauga County,North Carolina,1874097
1248,Yadkin County,North Carolina,1675616
1249,Yancey County,North Carolina,725728
1250,Barnes County,North Dakota,558859
1251,Benson County,North Dakota,420038
1252,Billings County,North Dakota,24313
1253,Bottineau County,North Dakota,293362
1254,Bowman County,North Dakota,166182
1255,Burleigh County,North Dakota,6416999
1256,Cavalier County,North Dakota,168803
1257,Dickey County,North Dakota,311158
1258,Divide County,North Dakota,76081
1259,Dunn County,North Dakota,179448
1260,Emmons County,North Dakota,170206
1261,Foster County,North Dakota,221497
1262,Grand Forks County,North Dakota,4101238
1263,Griggs County,North Dakota,124958
1264,Hettinger County,North Dakota,136281
1265,Kidder County,North Dakota,108658
1266,LaMoure County,North Dakota,209301
1267,McKenzie County,North Dakota,595831
1268,Mountrail County,North Dakota,556777
1269,Oliver County,North Dakota,63220
1270,Pembina County,North Dakota,341729
1271,Ransom County,North Dakota,272569
1272,Rolette County,North Dakota,878699
1273,Sargent County,North Dakota,191287
1274,Slope County,North Dakota,13239
1275,Stutsman County,North Dakota,1377795
1276,Towner County,North Dakota,125522
1277,Traill County,North Dakota,416605
1278,Walsh County,North Dakota,727292
1279,Ward County,North Dakota,3935010
1280,Williams County,North Dakota,1988468
1281,Saipan County,Northern Mariana Islands,111187
1282,Tinian County,Northern Mariana Islands,1294
1283,Ashland County,Ohio,1860501
1284,Ashtabula County,Ohio,2853924
1285,Athens County,Ohio,2127841
1286,Auglaize County,Ohio,2013878
1287,Belmont County,Ohio,2488411
1288,Clermont County,Ohio,8147553
1289,Columbiana County,Ohio,3849167
1290,Coshocton County,Ohio,1202249
1291,Cuyahoga County,Ohio,44671793
1292,Darke County,Ohio,2205063
1293,Defiance County,Ohio,1764145
1294,Gallia County,Ohio,1074243
1295,Geauga County,Ohio,2725975
1296,Guernsey County,Ohio,1471841
1297,Highland County,Ohio,1575311
1298,Hocking County,Ohio,943608
1299,Licking County,Ohio,6781373
1300,Lorain County,Ohio,10345797
